Source,Redshift,RA,DEC,Ref.,HSC coverage,HST Coverage,JWST Coverage
HerBS-194 N,2.3335,55:21.3,-00:35:56.6,\cite{Cox_2023},"g, r, i, z, y",No,No
HeLMS-41,2.3353,36:33.7,-03:21:20.2,\cite{Cox_2023},No,F110W,No
HerBS-29,2.34,38:46.5,+25:50:55,\cite{Cox_2023},No,"MIRVIS, F110W",No
HerBS-106A,2.369,18:02.5,-31:35:05.1,\cite{Urquhart_2022},No,No,No
HeLMS-12,2.3699,56:01.5,-07:11:43.1,\cite{Cox_2023},No,No,No
HerBS-115,2.3706,35:38.2,57:40.1,\cite{Cox_2023},No,No,No
HerBS-111,2.371,39:42.3,-33:33:04.1,\cite{Urquhart_2022},No,F110W,No
HeLMS-18,2.392,51:59.5,+06:22:41,\cite{Cox_2023},No,F110W,No
HerBS-93,2.4,47:50.4,-35:29:30.2,\cite{Urquhart_2022},No,No,No
HerBS-135A,2.401,56:11.8,-32:56:52.0,\cite{Urquhart_2022},No,F110W,No
HeLMS-15,2.4022,32:55.7,-05:34:26,\cite{Cox_2023},No,No,No
HerBS-91 C,2.4047,21:35.6,01:30.4,\cite{Cox_2023},"g, r, i, z, y","MIRVIS, F110W",No
HerBS-91 E,2.4048,21:35.8,01:30.9,\cite{Cox_2023},"g, r, i, z, y","MIRVIS, F110W",No
HerBS-8,2.41,49:33.4,+02:14:42,\cite{Cox_2023},"g, r, i, z, y","MIRVIS, F110W","F150W, F356W, F200W, F444W, F1800W, F1130W, F770W, F1500W, F090W, F277W"
HerBS-38 W,2.4158,46:08.3,19:29.8,\cite{Cox_2023},"g, r, i, y","F110W, F475X",No
HerBS-197,2.417,20:34.1,-00:38:04.4,\cite{Cox_2023},"g, r, i, z, y","MIRVIS, F110W",No
HerBS-63A,2.432,51:31.7,-30:20:20.6,\cite{Urquhart_2022},No,No,No
HerBS-47,2.433,52:50.8,-31:36:59.9,\cite{Urquhart_2022},No,"MIRVIS, F475X, F110W",No
HerBS-45A,2.434,51:32.9,-30:18:49.7,\cite{Urquhart_2022},No,F110W,No
HerBS-54,2.4417,15:40.7,23:19.6,\cite{Neri_2020},No,No,No
HerS-10,2.4688,17:22.4,56:22.8,\cite{Cox_2023},"g, r, i, z, y",F110W,No
HeLMS-7,2.4726,24:39.4,-04:39:36,\cite{Cox_2023},No,F110W,No
HerBS-132,2.473,12:05.3,-29:50:26.5,\cite{Urquhart_2022},No,F110W,No
HerBS-162 SW,2.4735,43:34.4,-00:30:35.7,\cite{Cox_2023},"g, r, i, z, y",No,No
HerBS-162 NE,2.4742,43:34.7,-00:30:30.5,\cite{Cox_2023},"g, r, i, z, y",No,No
HerS-13,2.4759,25:20.9,17:24.3,\cite{Cox_2023},"g, r, i, z, y",F110W,No
HerBS-38 SE,2.4775,46:09.1,19:19.4,\cite{Cox_2023},"g, r, i, z, y","F110W, F475X",No
HerBS-208A,2.478,57:44.6,-32:42:33.0,\cite{Bendo_2023},No,No,No
HerBS-171,2.4793,39:45.2,10:18.1,\cite{Cox_2023},"g, r, i, z, y",F110W,No
HerBS-15,2.4782,13:51.9,-00:00:26,"\cite{ Negrello_2017, Cox_2023}","g, r, i, z, y",F110W,No
HeLMS-11,2.4829,39:29.5,24:25.9,\cite{Cox_2023},"g, r, i, z, y",F110W,No
HerBS-208B,2.483,57:44.8,-32:42:32.9,\cite{Bendo_2023},No,No,No
HerBS-184,2.507,49:55.7,-33:08:34.4,\cite{Urquhart_2022},No,"MIRVIS, F110W",No
HeLMS-22,2.5093,16:26.0,+04:26:13,\cite{Cox_2023},g,"F110W, F475X",No
HeLMS-28,2.5322,30:09.3,-02:06:25.1,\cite{Cox_2023},No,No,No
HerBS-107,2.553,45:20.1,-31:38:32.5,\cite{Urquhart_2022},No,F110W,No
HerS-1,2.5534,09:41.1,+00:15:57,\cite{Cox_2023},"g, r, i, z, y","F160W,MIRVIS, F125W, F110W",No
HerBS-74,2.5596,06:00.5,35:01.1,\cite{Cox_2023},"g, r, i, z, y",F110W,No
HerBS-56C,2.561,32:07.7,-30:37:34.3,\cite{Urquhart_2022},No,F110W,No
HerBS-86,2.564,53:24.6,-33:11:11.8,\cite{Urquhart_2022},No,No,No
HerBS-62,2.5738,15:42.8,-00:52:20.8,\cite{Cox_2023},"g, r, i, z, y",F110W,No
HerBS-125,2.5739,04:32.2,53:39.6,\cite{Cox_2023},No,No,No
